alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
IFN+,+,root,"BV421-A,SparkBlue-574-A",boundary,"min=c(1.92238646770602,-0.909947564868207),max=c(4.78735600640482,4.65265951329821)",TRUE,NA,boundary,NA
TNFa+,+,root,"BV605-A,SparkBlue-574-A",boundary,"min=c(1.88961398431839,-0.873431544661426),max=c(4.72152805837386,4.59179947962024)",TRUE,NA,boundary,NA
IL2+,+,root,"BUV395-A,SparkBlue-574-A",boundary,"min=c(2.13485197717233,-1.00732361875296),max=c(4.72474543628882,4.68917553350499)",TRUE,NA,boundary,NA
CD107a+,+,root,"APC-A,SparkBlue-574-A",boundary,"min=c(1.73137789675567,-0.995151612017365),max=c(4.88353727145078,4.70134754024058)",TRUE,NA,boundary,NA
